case_id,dataset,fault_type,root_cause_service,raw_rank,observed_ar_rank,counterfactual_ar_rank,raw_to_counterfactual_delta,observed_to_counterfactual_delta,raw_top1,observed_ar_top1,counterfactual_ar_top1,counterfactual_top_competitor,root_top3_clip_mean,root_top3_clip_max,root_top3_any_clipped,competitor_top3_clip_mean,competitor_top3_clip_max,competitor_top3_any_clipped,raw_winner_top3_clip_mean,raw_winner_top3_any_clipped,observed_winner_top3_clip_mean,observed_winner_top3_any_clipped,root_or_competitor_any_clipped
re1_ob__checkoutservice_cpu__1,re1_ob,cpu,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,main,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_cpu__2,re1_ob,cpu,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_cpu__3,re1_ob,cpu,checkoutservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_cpu__4,re1_ob,cpu,checkoutservice,1,2,1,0,1,checkoutservice,frontend-external,checkoutservice,paymentservice,0.0,0.0,False,0.3333333333333333,1.0,True,0.0,False,0.0,False,True
re1_ob__checkoutservice_cpu__5,re1_ob,cpu,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__checkoutservice_delay__1,re1_ob,delay,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_delay__2,re1_ob,delay,checkoutservice,5,4,4,1,0,frontend-external,frontend-external,frontend-external,frontend-external,0.32871652816251157,0.9861495844875346,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__checkoutservice_delay__3,re1_ob,delay,checkoutservice,4,7,2,2,5,frontend-external,frontend-external,frontend-external,frontend-external,0.31763619575253926,0.9529085872576177,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__checkoutservice_delay__4,re1_ob,delay,checkoutservice,4,4,3,1,1,frontend-external,frontend-external,frontend-external,frontend-external,0.32317636195752536,0.9695290858725761,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__checkoutservice_delay__5,re1_ob,delay,checkoutservice,3,5,2,1,3,frontend-external,frontend-external,frontend-external,frontend-external,0.3314866112650046,0.9944598337950139,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__checkoutservice_disk__1,re1_ob,disk,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,redis,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_disk__2,re1_ob,disk,checkoutservice,2,3,2,0,1,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_disk__3,re1_ob,disk,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_disk__4,re1_ob,disk,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,emailservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_disk__5,re1_ob,disk,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,emailservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_loss__1,re1_ob,loss,checkoutservice,5,7,2,3,5,paymentservice,paymentservice,paymentservice,paymentservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_loss__2,re1_ob,loss,checkoutservice,7,11,3,4,8,emailservice,emailservice,emailservice,emailservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_loss__3,re1_ob,loss,checkoutservice,7,7,3,4,4,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_loss__4,re1_ob,loss,checkoutservice,5,7,2,3,5,emailservice,emailservice,emailservice,emailservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_loss__5,re1_ob,loss,checkoutservice,8,7,4,4,3,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_mem__1,re1_ob,mem,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,paymentservice,0.0,0.0,False,0.3333333333333333,1.0,True,0.0,False,0.0,False,True
re1_ob__checkoutservice_mem__2,re1_ob,mem,checkoutservice,2,2,1,1,1,frontend,frontend,checkoutservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_mem__3,re1_ob,mem,checkoutservice,1,2,1,0,1,checkoutservice,frontend,checkoutservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_mem__4,re1_ob,mem,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,main,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__checkoutservice_mem__5,re1_ob,mem,checkoutservice,1,1,1,0,0,checkoutservice,checkoutservice,checkoutservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__currencyservice_cpu__1,re1_ob,cpu,currencyservice,2,4,2,0,2,frontend,frontend,frontend,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_cpu__2,re1_ob,cpu,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__currencyservice_cpu__3,re1_ob,cpu,currencyservice,3,5,1,2,4,emailservice,emailservice,currencyservice,emailservice,0.0,0.0,False,0.3333333333333333,1.0,True,0.3333333333333333,True,0.3333333333333333,True,True
re1_ob__currencyservice_cpu__4,re1_ob,cpu,currencyservice,3,3,2,1,1,emailservice,emailservice,emailservice,emailservice,0.0,0.0,False,0.3333333333333333,1.0,True,0.3333333333333333,True,0.3333333333333333,True,True
re1_ob__currencyservice_cpu__5,re1_ob,cpu,currencyservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_delay__1,re1_ob,delay,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_delay__2,re1_ob,delay,currencyservice,6,2,3,3,-1,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_delay__3,re1_ob,delay,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_delay__4,re1_ob,delay,currencyservice,4,2,6,-2,-4,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_delay__5,re1_ob,delay,currencyservice,3,3,3,0,0,frontend,checkoutservice,frontend,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.33056325023084027,True,False
re1_ob__currencyservice_disk__1,re1_ob,disk,currencyservice,2,2,2,0,0,adservice,adservice,adservice,adservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_disk__2,re1_ob,disk,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,checkoutservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_disk__3,re1_ob,disk,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,checkoutservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_disk__4,re1_ob,disk,currencyservice,2,3,1,1,2,redis,redis,currencyservice,checkoutservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_disk__5,re1_ob,disk,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,paymentservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_loss__1,re1_ob,loss,currencyservice,3,2,7,-4,-5,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_loss__2,re1_ob,loss,currencyservice,1,1,2,-1,-1,currencyservice,currencyservice,frontend,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_loss__3,re1_ob,loss,currencyservice,4,3,5,-1,-2,cartservice,cartservice,cartservice,cartservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_loss__4,re1_ob,loss,currencyservice,1,1,3,-2,-2,currencyservice,currencyservice,recommendationservice,recommendationservice,0.0018467220683287165,0.00554016620498615,True,0.0,0.0,False,0.0018467220683287165,True,0.0018467220683287165,True,True
re1_ob__currencyservice_loss__5,re1_ob,loss,currencyservice,2,2,3,-1,-1,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_mem__1,re1_ob,mem,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_mem__2,re1_ob,mem,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,checkoutservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_mem__3,re1_ob,mem,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__currencyservice_mem__4,re1_ob,mem,currencyservice,1,1,1,0,0,currencyservice,currencyservice,currencyservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__currencyservice_mem__5,re1_ob,mem,currencyservice,2,2,1,1,1,frontend,frontend,currencyservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_cpu__1,re1_ob,cpu,productcatalogservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_cpu__2,re1_ob,cpu,productcatalogservice,1,2,1,0,1,productcatalogservice,frontend-external,productcatalogservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_cpu__3,re1_ob,cpu,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,adservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_cpu__4,re1_ob,cpu,productcatalogservice,3,4,3,0,1,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_cpu__5,re1_ob,cpu,productcatalogservice,1,2,1,0,1,productcatalogservice,frontend-external,productcatalogservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_delay__1,re1_ob,delay,productcatalogservice,2,1,2,0,-1,frontend,productcatalogservice,frontend,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_delay__2,re1_ob,delay,productcatalogservice,3,1,2,1,-1,frontend,productcatalogservice,frontend,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_delay__3,re1_ob,delay,productcatalogservice,4,3,5,-1,-2,frontend-external,frontend-external,frontend,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_delay__4,re1_ob,delay,productcatalogservice,1,1,3,-2,-2,productcatalogservice,productcatalogservice,frontend,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_delay__5,re1_ob,delay,productcatalogservice,1,1,3,-2,-2,productcatalogservice,productcatalogservice,frontend,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_disk__1,re1_ob,disk,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_disk__2,re1_ob,disk,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_disk__3,re1_ob,disk,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_disk__4,re1_ob,disk,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_disk__5,re1_ob,disk,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_loss__1,re1_ob,loss,productcatalogservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_loss__2,re1_ob,loss,productcatalogservice,4,3,5,-1,-2,checkoutservice,checkoutservice,checkoutservice,checkoutservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_loss__3,re1_ob,loss,productcatalogservice,5,4,5,0,-1,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_loss__4,re1_ob,loss,productcatalogservice,3,3,4,-1,-1,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_loss__5,re1_ob,loss,productcatalogservice,6,4,6,0,-2,recommendationservice,recommendationservice,recommendationservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_mem__1,re1_ob,mem,productcatalogservice,2,2,1,1,1,frontend-external,frontend-external,productcatalogservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_mem__2,re1_ob,mem,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_mem__3,re1_ob,mem,productcatalogservice,2,2,1,1,1,frontend-external,frontend-external,productcatalogservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_mem__4,re1_ob,mem,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__productcatalogservice_mem__5,re1_ob,mem,productcatalogservice,1,1,1,0,0,productcatalogservice,productcatalogservice,productcatalogservice,recommendationservice,0.27499999999999997,0.825,True,0.0,0.0,False,0.27499999999999997,True,0.27499999999999997,True,True
re1_ss__carts_cpu__1,re1_ss,cpu,carts,1,1,1,0,0,carts,carts,carts,front-end,0.3333333333333333,1.0,True,0.0,0.0,False,0.3333333333333333,True,0.3333333333333333,True,True
re1_ss__carts_cpu__2,re1_ss,cpu,carts,1,1,1,0,0,carts,carts,carts,192-168-15-8-9100,0.3333333333333333,1.0,True,0.0,0.0,False,0.3333333333333333,True,0.3333333333333333,True,True
re1_ss__carts_cpu__3,re1_ss,cpu,carts,2,2,2,0,0,192-168-33-0-9100,192-168-33-0-9100,192-168-33-0-9100,192-168-33-0-9100,0.6666666666666666,1.0,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ss__carts_cpu__4,re1_ss,cpu,carts,1,1,1,0,0,carts,carts,carts,192-168-33-0-9100,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ss__carts_cpu__5,re1_ss,cpu,carts,1,1,1,0,0,carts,carts,carts,192-168-15-8-9100,0.3268698060941828,0.9806094182825484,True,0.0,0.0,False,0.3268698060941828,True,0.3268698060941828,True,True
re1_ss__carts_delay__1,re1_ss,delay,carts,1,1,1,0,0,carts,carts,carts,front-end,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ss__carts_delay__2,re1_ss,delay,carts,1,1,1,0,0,carts,carts,carts,front-end,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ss__carts_delay__3,re1_ss,delay,carts,3,3,3,0,0,192-168-37-154-9100,192-168-37-154-9100,192-168-37-154-9100,192-168-37-154-9100,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
