ar_rank,ar_result_file,case_id,dataset,delta,fault_type,movement,raw_rank,raw_result_file,root_cause_service
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_disk__1.json,re1_ob__adservice_disk__1,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_disk__1.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_disk__2.json,re1_ob__adservice_disk__2,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_disk__2.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_disk__3.json,re1_ob__adservice_disk__3,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_disk__3.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_disk__4.json,re1_ob__adservice_disk__4,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_disk__4.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_disk__5.json,re1_ob__adservice_disk__5,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_disk__5.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_loss__1.json,re1_ob__adservice_loss__1,re1_ob,0,loss,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_loss__1.json,adservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_loss__2.json,re1_ob__adservice_loss__2,re1_ob,0,loss,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_loss__2.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_loss__3.json,re1_ob__adservice_loss__3,re1_ob,0,loss,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_loss__3.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_loss__4.json,re1_ob__adservice_loss__4,re1_ob,0,loss,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_loss__4.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_loss__5.json,re1_ob__adservice_loss__5,re1_ob,0,loss,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_loss__5.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_mem__1.json,re1_ob__adservice_mem__1,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_mem__1.json,adservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_mem__2.json,re1_ob__adservice_mem__2,re1_ob,-1,mem,worsened,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_mem__2.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_mem__3.json,re1_ob__adservice_mem__3,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_mem__3.json,adservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_mem__4.json,re1_ob__adservice_mem__4,re1_ob,0,mem,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_mem__4.json,adservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_mem__5.json,re1_ob__adservice_mem__5,re1_ob,0,mem,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_mem__5.json,adservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_cpu__1.json,re1_ob__cartservice_cpu__1,re1_ob,-1,cpu,worsened,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_cpu__1.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_cpu__2.json,re1_ob__cartservice_cpu__2,re1_ob,0,cpu,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_cpu__2.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_cpu__3.json,re1_ob__cartservice_cpu__3,re1_ob,0,cpu,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_cpu__3.json,cartservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_cpu__4.json,re1_ob__cartservice_cpu__4,re1_ob,0,cpu,same,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_cpu__4.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_cpu__5.json,re1_ob__cartservice_cpu__5,re1_ob,0,cpu,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_cpu__5.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_delay__1.json,re1_ob__cartservice_delay__1,re1_ob,0,delay,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_delay__1.json,cartservice
5,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_delay__2.json,re1_ob__cartservice_delay__2,re1_ob,1,delay,improved,6,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_delay__2.json,cartservice
5,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_delay__3.json,re1_ob__cartservice_delay__3,re1_ob,0,delay,same,5,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_delay__3.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_delay__4.json,re1_ob__cartservice_delay__4,re1_ob,1,delay,improved,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_delay__4.json,cartservice
4,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_delay__5.json,re1_ob__cartservice_delay__5,re1_ob,-1,delay,worsened,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_delay__5.json,cartservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_disk__1.json,re1_ob__cartservice_disk__1,re1_ob,-2,disk,worsened,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_disk__1.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_disk__2.json,re1_ob__cartservice_disk__2,re1_ob,-1,disk,worsened,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_disk__2.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_disk__3.json,re1_ob__cartservice_disk__3,re1_ob,0,disk,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_disk__3.json,cartservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_disk__4.json,re1_ob__cartservice_disk__4,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_disk__4.json,cartservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_disk__5.json,re1_ob__cartservice_disk__5,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_disk__5.json,cartservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_loss__1.json,re1_ob__cartservice_loss__1,re1_ob,0,loss,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_loss__1.json,cartservice
9,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_loss__2.json,re1_ob__cartservice_loss__2,re1_ob,-2,loss,worsened,7,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_loss__2.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_loss__3.json,re1_ob__cartservice_loss__3,re1_ob,0,loss,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_loss__3.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_loss__4.json,re1_ob__cartservice_loss__4,re1_ob,0,loss,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_loss__4.json,cartservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_loss__5.json,re1_ob__cartservice_loss__5,re1_ob,2,loss,improved,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_loss__5.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_mem__1.json,re1_ob__cartservice_mem__1,re1_ob,0,mem,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_mem__1.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_mem__2.json,re1_ob__cartservice_mem__2,re1_ob,0,mem,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_mem__2.json,cartservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_mem__3.json,re1_ob__cartservice_mem__3,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_mem__3.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_mem__4.json,re1_ob__cartservice_mem__4,re1_ob,-1,mem,worsened,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_mem__4.json,cartservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__cartservice_mem__5.json,re1_ob__cartservice_mem__5,re1_ob,0,mem,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__cartservice_mem__5.json,cartservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_cpu__1.json,re1_ob__checkoutservice_cpu__1,re1_ob,0,cpu,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_cpu__1.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_cpu__2.json,re1_ob__checkoutservice_cpu__2,re1_ob,0,cpu,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_cpu__2.json,checkoutservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_cpu__3.json,re1_ob__checkoutservice_cpu__3,re1_ob,0,cpu,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_cpu__3.json,checkoutservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_cpu__4.json,re1_ob__checkoutservice_cpu__4,re1_ob,-1,cpu,worsened,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_cpu__4.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_cpu__5.json,re1_ob__checkoutservice_cpu__5,re1_ob,0,cpu,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_cpu__5.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_delay__1.json,re1_ob__checkoutservice_delay__1,re1_ob,0,delay,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_delay__1.json,checkoutservice
4,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_delay__2.json,re1_ob__checkoutservice_delay__2,re1_ob,1,delay,improved,5,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_delay__2.json,checkoutservice
7,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_delay__3.json,re1_ob__checkoutservice_delay__3,re1_ob,-3,delay,worsened,4,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_delay__3.json,checkoutservice
4,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_delay__4.json,re1_ob__checkoutservice_delay__4,re1_ob,0,delay,same,4,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_delay__4.json,checkoutservice
5,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_delay__5.json,re1_ob__checkoutservice_delay__5,re1_ob,-2,delay,worsened,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_delay__5.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_disk__1.json,re1_ob__checkoutservice_disk__1,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_disk__1.json,checkoutservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_disk__2.json,re1_ob__checkoutservice_disk__2,re1_ob,-1,disk,worsened,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_disk__2.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_disk__3.json,re1_ob__checkoutservice_disk__3,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_disk__3.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_disk__4.json,re1_ob__checkoutservice_disk__4,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_disk__4.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_disk__5.json,re1_ob__checkoutservice_disk__5,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_disk__5.json,checkoutservice
7,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_loss__1.json,re1_ob__checkoutservice_loss__1,re1_ob,-2,loss,worsened,5,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_loss__1.json,checkoutservice
11,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_loss__2.json,re1_ob__checkoutservice_loss__2,re1_ob,-4,loss,worsened,7,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_loss__2.json,checkoutservice
7,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_loss__3.json,re1_ob__checkoutservice_loss__3,re1_ob,0,loss,same,7,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_loss__3.json,checkoutservice
7,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_loss__4.json,re1_ob__checkoutservice_loss__4,re1_ob,-2,loss,worsened,5,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_loss__4.json,checkoutservice
7,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_loss__5.json,re1_ob__checkoutservice_loss__5,re1_ob,1,loss,improved,8,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_loss__5.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_mem__1.json,re1_ob__checkoutservice_mem__1,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_mem__1.json,checkoutservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_mem__2.json,re1_ob__checkoutservice_mem__2,re1_ob,0,mem,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_mem__2.json,checkoutservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_mem__3.json,re1_ob__checkoutservice_mem__3,re1_ob,-1,mem,worsened,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_mem__3.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_mem__4.json,re1_ob__checkoutservice_mem__4,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_mem__4.json,checkoutservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__checkoutservice_mem__5.json,re1_ob__checkoutservice_mem__5,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__checkoutservice_mem__5.json,checkoutservice
4,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_cpu__1.json,re1_ob__currencyservice_cpu__1,re1_ob,-2,cpu,worsened,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_cpu__1.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_cpu__2.json,re1_ob__currencyservice_cpu__2,re1_ob,0,cpu,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_cpu__2.json,currencyservice
5,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_cpu__3.json,re1_ob__currencyservice_cpu__3,re1_ob,-2,cpu,worsened,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_cpu__3.json,currencyservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_cpu__4.json,re1_ob__currencyservice_cpu__4,re1_ob,0,cpu,same,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_cpu__4.json,currencyservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_cpu__5.json,re1_ob__currencyservice_cpu__5,re1_ob,0,cpu,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_cpu__5.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_delay__1.json,re1_ob__currencyservice_delay__1,re1_ob,0,delay,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_delay__1.json,currencyservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_delay__2.json,re1_ob__currencyservice_delay__2,re1_ob,4,delay,improved,6,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_delay__2.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_delay__3.json,re1_ob__currencyservice_delay__3,re1_ob,0,delay,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_delay__3.json,currencyservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_delay__4.json,re1_ob__currencyservice_delay__4,re1_ob,2,delay,improved,4,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_delay__4.json,currencyservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_delay__5.json,re1_ob__currencyservice_delay__5,re1_ob,0,delay,same,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_delay__5.json,currencyservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_disk__1.json,re1_ob__currencyservice_disk__1,re1_ob,0,disk,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_disk__1.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_disk__2.json,re1_ob__currencyservice_disk__2,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_disk__2.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_disk__3.json,re1_ob__currencyservice_disk__3,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_disk__3.json,currencyservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_disk__4.json,re1_ob__currencyservice_disk__4,re1_ob,-1,disk,worsened,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_disk__4.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_disk__5.json,re1_ob__currencyservice_disk__5,re1_ob,0,disk,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_disk__5.json,currencyservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_loss__1.json,re1_ob__currencyservice_loss__1,re1_ob,1,loss,improved,3,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_loss__1.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_loss__2.json,re1_ob__currencyservice_loss__2,re1_ob,0,loss,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_loss__2.json,currencyservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_loss__3.json,re1_ob__currencyservice_loss__3,re1_ob,1,loss,improved,4,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_loss__3.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_loss__4.json,re1_ob__currencyservice_loss__4,re1_ob,0,loss,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_loss__4.json,currencyservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_loss__5.json,re1_ob__currencyservice_loss__5,re1_ob,0,loss,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_loss__5.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_mem__1.json,re1_ob__currencyservice_mem__1,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_mem__1.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_mem__2.json,re1_ob__currencyservice_mem__2,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_mem__2.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_mem__3.json,re1_ob__currencyservice_mem__3,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_mem__3.json,currencyservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_mem__4.json,re1_ob__currencyservice_mem__4,re1_ob,0,mem,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_mem__4.json,currencyservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__currencyservice_mem__5.json,re1_ob__currencyservice_mem__5,re1_ob,0,mem,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__currencyservice_mem__5.json,currencyservice
