case_id,dataset,fault_type,root_cause_service,raw_rank,observed_ar_rank,counterfactual_ar_rank,stationary_ar_rank,stationary_counterfactual_ar_rank,stationary_counterfactual_ar_uncertainty_rank
re1_ob__checkoutservice_cpu__5,re1_ob,cpu,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_delay__1,re1_ob,delay,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_delay__2,re1_ob,delay,checkoutservice,5,4,4,4,4,4
re1_ob__checkoutservice_delay__3,re1_ob,delay,checkoutservice,4,7,2,7,3,3
re1_ob__checkoutservice_delay__4,re1_ob,delay,checkoutservice,4,4,3,4,3,3
re1_ob__checkoutservice_delay__5,re1_ob,delay,checkoutservice,3,5,2,5,2,2
re1_ob__checkoutservice_disk__1,re1_ob,disk,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_disk__2,re1_ob,disk,checkoutservice,2,3,2,3,2,2
re1_ob__checkoutservice_disk__3,re1_ob,disk,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_disk__4,re1_ob,disk,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_disk__5,re1_ob,disk,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_loss__1,re1_ob,loss,checkoutservice,5,7,2,7,2,3
re1_ob__checkoutservice_loss__2,re1_ob,loss,checkoutservice,7,11,3,11,4,5
re1_ob__checkoutservice_loss__3,re1_ob,loss,checkoutservice,7,7,3,7,3,7
re1_ob__checkoutservice_loss__4,re1_ob,loss,checkoutservice,5,7,2,7,2,5
re1_ob__checkoutservice_loss__5,re1_ob,loss,checkoutservice,8,7,4,7,5,7
re1_ob__checkoutservice_mem__1,re1_ob,mem,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_mem__2,re1_ob,mem,checkoutservice,2,2,1,2,1,1
re1_ob__checkoutservice_mem__3,re1_ob,mem,checkoutservice,1,2,1,2,1,1
re1_ob__checkoutservice_mem__4,re1_ob,mem,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_mem__5,re1_ob,mem,checkoutservice,1,1,1,1,1,1
re1_ob__currencyservice_cpu__1,re1_ob,cpu,currencyservice,2,4,2,4,2,2
re1_ob__currencyservice_cpu__2,re1_ob,cpu,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_cpu__3,re1_ob,cpu,currencyservice,3,5,1,5,1,1
re1_ob__currencyservice_cpu__4,re1_ob,cpu,currencyservice,3,3,2,3,2,2
re1_ob__currencyservice_cpu__5,re1_ob,cpu,currencyservice,2,2,2,2,2,2
re1_ob__currencyservice_delay__1,re1_ob,delay,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_delay__2,re1_ob,delay,currencyservice,6,2,3,2,3,2
re1_ob__currencyservice_delay__3,re1_ob,delay,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_delay__4,re1_ob,delay,currencyservice,4,2,6,2,6,4
re1_ob__currencyservice_delay__5,re1_ob,delay,currencyservice,3,3,3,3,3,3
re1_ob__currencyservice_disk__1,re1_ob,disk,currencyservice,2,2,2,2,2,2
re1_ob__currencyservice_disk__2,re1_ob,disk,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_disk__3,re1_ob,disk,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_disk__4,re1_ob,disk,currencyservice,2,3,1,3,1,1
re1_ob__currencyservice_disk__5,re1_ob,disk,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_loss__1,re1_ob,loss,currencyservice,3,2,7,2,7,3
re1_ob__currencyservice_loss__2,re1_ob,loss,currencyservice,1,1,2,1,2,1
re1_ob__currencyservice_loss__3,re1_ob,loss,currencyservice,4,3,5,3,5,4
re1_ob__currencyservice_loss__4,re1_ob,loss,currencyservice,1,1,3,1,3,1
re1_ob__currencyservice_loss__5,re1_ob,loss,currencyservice,2,2,3,2,3,3
re1_ob__currencyservice_mem__1,re1_ob,mem,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_mem__2,re1_ob,mem,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_mem__3,re1_ob,mem,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_mem__4,re1_ob,mem,currencyservice,1,1,1,1,1,1
re1_ob__currencyservice_mem__5,re1_ob,mem,currencyservice,2,2,1,2,1,2
re1_ob__productcatalogservice_cpu__1,re1_ob,cpu,productcatalogservice,2,2,2,2,2,2
re1_ob__productcatalogservice_cpu__2,re1_ob,cpu,productcatalogservice,1,2,1,2,1,1
re1_ob__productcatalogservice_cpu__3,re1_ob,cpu,productcatalogservice,1,1,1,1,1,1
re1_ob__productcatalogservice_cpu__4,re1_ob,cpu,productcatalogservice,3,4,3,4,3,3
re1_ob__productcatalogservice_cpu__5,re1_ob,cpu,productcatalogservice,1,2,1,2,1,1
re1_ob__productcatalogservice_delay__1,re1_ob,delay,productcatalogservice,2,1,2,1,2,1
re1_ob__productcatalogservice_delay__2,re1_ob,delay,productcatalogservice,3,1,2,1,2,2
re1_ob__productcatalogservice_delay__3,re1_ob,delay,productcatalogservice,4,3,5,3,5,4
re1_ob__productcatalogservice_delay__4,re1_ob,delay,productcatalogservice,1,1,3,1,3,1
re1_ob__productcatalogservice_delay__5,re1_ob,delay,productcatalogservice,1,1,3,1,3,2
re1_ob__productcatalogservice_disk__1,re1_ob,disk,productcatalogservice,1,1,1,1,1,1
re1_ob__productcatalogservice_disk__2,re1_ob,disk,productcatalogservice,1,1,1,1,1,1
re1_ob__productcatalogservice_disk__3,re1_ob,disk,productcatalogservice,1,1,1,1,1,1
re1_ob__productcatalogservice_disk__4,re1_ob,disk,productcatalogservice,1,1,1,1,1,1
re1_ob__productcatalogservice_disk__5,re1_ob,disk,productcatalogservice,1,1,1,1,1,1
re1_ob__productcatalogservice_loss__1,re1_ob,loss,productcatalogservice,2,2,2,2,2,2
re1_ob__productcatalogservice_loss__2,re1_ob,loss,productcatalogservice,4,3,5,3,5,4
re1_ob__productcatalogservice_loss__3,re1_ob,loss,productcatalogservice,5,4,5,4,6,5
re1_ob__productcatalogservice_loss__4,re1_ob,loss,productcatalogservice,3,3,4,3,4,3
re1_ob__productcatalogservice_loss__5,re1_ob,loss,productcatalogservice,6,4,6,4,6,5
re1_ob__productcatalogservice_mem__1,re1_ob,mem,productcatalogservice,2,2,1,2,1,2
re1_ob__productcatalogservice_mem__2,re1_ob,mem,productcatalogservice,1,1,1,1,1,1
re1_ob__productcatalogservice_mem__3,re1_ob,mem,productcatalogservice,2,2,1,2,1,2
re1_ob__productcatalogservice_mem__4,re1_ob,mem,productcatalogservice,1,1,1,1,1,1
re1_ob__productcatalogservice_mem__5,re1_ob,mem,productcatalogservice,1,1,1,1,1,1
re1_ss__carts_cpu__1,re1_ss,cpu,carts,1,1,1,1,1,1
re1_ss__carts_cpu__2,re1_ss,cpu,carts,1,1,1,1,1,1
re1_ss__carts_cpu__3,re1_ss,cpu,carts,2,2,2,2,2,2
re1_ss__carts_cpu__4,re1_ss,cpu,carts,1,1,1,1,1,1
re1_ss__carts_cpu__5,re1_ss,cpu,carts,1,1,1,1,1,1
re1_ss__carts_delay__1,re1_ss,delay,carts,1,1,1,1,1,1
re1_ss__carts_delay__2,re1_ss,delay,carts,1,1,1,1,1,1
re1_ss__carts_delay__3,re1_ss,delay,carts,3,3,3,3,3,3
re1_ss__carts_delay__4,re1_ss,delay,carts,1,1,1,1,1,1
re1_ss__carts_delay__5,re1_ss,delay,carts,1,1,1,1,1,1
re1_ss__carts_disk__1,re1_ss,disk,carts,2,2,2,2,2,2
re1_ss__carts_disk__2,re1_ss,disk,carts,1,1,1,1,1,1
re1_ss__carts_disk__3,re1_ss,disk,carts,2,2,2,2,2,2
re1_ss__carts_disk__4,re1_ss,disk,carts,1,1,1,1,1,1
re1_ss__carts_disk__5,re1_ss,disk,carts,3,3,3,3,3,3
re1_ss__carts_loss__1,re1_ss,loss,carts,1,1,1,1,1,1
re1_ss__carts_loss__2,re1_ss,loss,carts,1,1,1,1,1,1
re1_ss__carts_loss__3,re1_ss,loss,carts,4,4,3,4,3,3
re1_ss__carts_loss__4,re1_ss,loss,carts,1,1,1,1,1,1
re1_ss__carts_loss__5,re1_ss,loss,carts,2,5,2,5,2,2
re1_ss__carts_mem__1,re1_ss,mem,carts,1,1,1,1,1,1
re1_ss__carts_mem__2,re1_ss,mem,carts,1,1,1,1,1,1
re1_ss__carts_mem__3,re1_ss,mem,carts,1,1,1,1,1,1
re1_ss__carts_mem__4,re1_ss,mem,carts,1,1,1,1,1,1
re1_ss__carts_mem__5,re1_ss,mem,carts,1,1,1,1,1,1
re1_ss__catalogue_cpu__1,re1_ss,cpu,catalogue,1,1,1,1,1,1
re1_ss__catalogue_cpu__2,re1_ss,cpu,catalogue,1,1,1,1,1,1
re1_ss__catalogue_cpu__3,re1_ss,cpu,catalogue,1,1,1,1,1,1
re1_ss__catalogue_cpu__4,re1_ss,cpu,catalogue,1,1,1,1,1,1
re1_ss__catalogue_cpu__5,re1_ss,cpu,catalogue,1,1,1,1,1,1
re1_ss__catalogue_delay__1,re1_ss,delay,catalogue,1,1,1,1,1,1
re1_ss__catalogue_delay__2,re1_ss,delay,catalogue,2,2,2,2,2,2
re1_ss__catalogue_delay__3,re1_ss,delay,catalogue,3,3,3,3,3,3
re1_ss__catalogue_delay__4,re1_ss,delay,catalogue,4,4,4,4,4,4
re1_ss__catalogue_delay__5,re1_ss,delay,catalogue,2,2,2,2,2,2
re1_ss__catalogue_disk__1,re1_ss,disk,catalogue,1,1,1,1,1,1
re1_ss__catalogue_disk__2,re1_ss,disk,catalogue,1,1,1,1,1,1
re1_ss__catalogue_disk__3,re1_ss,disk,catalogue,1,1,1,1,1,1
re1_ss__catalogue_disk__4,re1_ss,disk,catalogue,1,1,1,1,1,1
re1_ss__catalogue_disk__5,re1_ss,disk,catalogue,1,1,1,1,1,1
re1_ss__catalogue_loss__1,re1_ss,loss,catalogue,1,1,1,1,1,1
re1_ss__catalogue_loss__2,re1_ss,loss,catalogue,1,1,1,1,1,1
re1_ss__catalogue_loss__3,re1_ss,loss,catalogue,1,1,2,1,2,1
re1_ss__catalogue_loss__4,re1_ss,loss,catalogue,1,1,1,1,1,1
re1_ss__catalogue_loss__5,re1_ss,loss,catalogue,3,1,1,1,1,1
re1_ss__catalogue_mem__1,re1_ss,mem,catalogue,1,1,1,1,1,1
re1_ss__catalogue_mem__2,re1_ss,mem,catalogue,1,1,1,1,1,1
re1_ss__catalogue_mem__3,re1_ss,mem,catalogue,1,1,1,1,1,1
re1_ss__catalogue_mem__4,re1_ss,mem,catalogue,1,1,1,1,1,1
re1_ss__catalogue_mem__5,re1_ss,mem,catalogue,1,1,1,1,1,1
re1_ss__orders_cpu__1,re1_ss,cpu,orders,1,1,1,1,1,1
re1_ss__orders_cpu__2,re1_ss,cpu,orders,1,1,1,1,1,1
re1_ss__orders_cpu__3,re1_ss,cpu,orders,1,1,1,1,1,1
re1_ss__orders_cpu__4,re1_ss,cpu,orders,1,1,1,1,1,1
re1_ss__orders_cpu__5,re1_ss,cpu,orders,1,1,1,1,1,1
re1_ss__orders_delay__1,re1_ss,delay,orders,1,1,1,1,1,1
re1_ss__orders_delay__2,re1_ss,delay,orders,1,1,2,1,2,1
re1_ss__orders_delay__3,re1_ss,delay,orders,2,1,1,1,1,1
re1_ss__orders_delay__4,re1_ss,delay,orders,1,1,1,1,1,1
re1_ss__orders_delay__5,re1_ss,delay,orders,1,1,1,1,1,1
re1_ss__orders_disk__1,re1_ss,disk,orders,1,1,1,1,1,1
re1_ss__orders_disk__2,re1_ss,disk,orders,1,1,1,1,1,1
re1_ss__orders_disk__3,re1_ss,disk,orders,1,1,1,1,1,1
re1_ss__orders_disk__4,re1_ss,disk,orders,1,1,1,1,1,1
re1_ss__orders_disk__5,re1_ss,disk,orders,1,1,1,1,1,1
re1_ss__orders_loss__1,re1_ss,loss,orders,1,1,1,1,1,1
re1_ss__orders_loss__2,re1_ss,loss,orders,1,1,1,1,1,1
re1_ss__orders_loss__3,re1_ss,loss,orders,2,3,2,3,2,3
re1_ss__orders_loss__4,re1_ss,loss,orders,4,4,2,4,2,3
re1_ss__orders_loss__5,re1_ss,loss,orders,4,4,4,4,4,4
re1_ss__orders_mem__1,re1_ss,mem,orders,1,1,1,1,1,1
re1_ss__orders_mem__2,re1_ss,mem,orders,1,1,1,1,1,1
re1_ss__orders_mem__3,re1_ss,mem,orders,1,1,1,1,1,1
re1_ss__orders_mem__4,re1_ss,mem,orders,1,1,1,1,1,1
re1_ss__orders_mem__5,re1_ss,mem,orders,1,1,1,1,1,1
re1_ss__payment_cpu__1,re1_ss,cpu,payment,1,1,1,1,1,1
re1_ss__payment_cpu__2,re1_ss,cpu,payment,1,1,1,1,1,1
re1_ss__payment_cpu__3,re1_ss,cpu,payment,1,1,1,1,1,1
re1_ss__payment_cpu__4,re1_ss,cpu,payment,1,1,1,1,1,1
re1_ss__payment_cpu__5,re1_ss,cpu,payment,1,1,1,1,1,1
re1_ss__payment_delay__1,re1_ss,delay,payment,1,1,1,1,1,1
re1_ss__payment_delay__2,re1_ss,delay,payment,1,1,1,1,1,1
re1_ss__payment_delay__3,re1_ss,delay,payment,3,4,3,4,3,3
re1_ss__payment_delay__4,re1_ss,delay,payment,3,3,3,3,3,3
re1_ss__payment_delay__5,re1_ss,delay,payment,1,1,1,1,1,1
re1_ss__payment_disk__1,re1_ss,disk,payment,1,1,1,1,1,1
re1_ss__payment_disk__2,re1_ss,disk,payment,1,1,1,1,1,1
re1_ss__payment_disk__3,re1_ss,disk,payment,1,1,1,1,1,1
re1_ss__payment_disk__4,re1_ss,disk,payment,1,1,1,1,1,1
re1_ss__payment_disk__5,re1_ss,disk,payment,1,1,1,1,1,1
re1_ss__payment_loss__1,re1_ss,loss,payment,1,1,1,1,1,1
re1_ss__payment_loss__2,re1_ss,loss,payment,1,1,1,1,1,1
re1_ss__payment_loss__3,re1_ss,loss,payment,1,1,1,1,1,1
re1_ss__payment_loss__4,re1_ss,loss,payment,1,1,1,1,1,1
re1_ss__payment_loss__5,re1_ss,loss,payment,1,1,1,1,1,1
re1_ss__payment_mem__1,re1_ss,mem,payment,1,1,1,1,1,1
re1_ss__payment_mem__2,re1_ss,mem,payment,1,1,1,1,1,1
re1_ss__payment_mem__3,re1_ss,mem,payment,1,1,1,1,1,1
re1_ss__payment_mem__4,re1_ss,mem,payment,1,1,1,1,1,1
re1_ss__payment_mem__5,re1_ss,mem,payment,1,1,1,1,1,1
re1_ss__user_cpu__1,re1_ss,cpu,user,1,1,1,1,1,1
re1_ss__user_cpu__2,re1_ss,cpu,user,1,1,1,1,1,1
re1_ss__user_cpu__3,re1_ss,cpu,user,1,1,1,1,1,1
re1_ss__user_cpu__4,re1_ss,cpu,user,1,1,1,1,1,1
re1_ss__user_cpu__5,re1_ss,cpu,user,1,1,1,1,1,1
re1_ss__user_delay__1,re1_ss,delay,user,2,2,2,2,2,2
re1_ss__user_delay__2,re1_ss,delay,user,1,1,1,1,1,1
re1_ss__user_delay__3,re1_ss,delay,user,1,1,1,1,1,1
re1_ss__user_delay__4,re1_ss,delay,user,1,1,1,1,1,1
re1_ss__user_delay__5,re1_ss,delay,user,1,1,1,1,1,1
re1_ss__user_disk__1,re1_ss,disk,user,1,1,1,1,1,1
re1_ss__user_disk__2,re1_ss,disk,user,1,1,1,1,1,1
re1_ss__user_disk__3,re1_ss,disk,user,1,1,1,1,1,1
re1_ss__user_disk__4,re1_ss,disk,user,1,1,1,1,1,1
re1_ss__user_disk__5,re1_ss,disk,user,1,1,1,1,1,1
re1_ss__user_loss__1,re1_ss,loss,user,1,1,1,1,1,1
re1_ss__user_loss__2,re1_ss,loss,user,1,1,1,1,1,1
re1_ss__user_loss__3,re1_ss,loss,user,4,6,7,6,7,6
re1_ss__user_loss__4,re1_ss,loss,user,4,4,4,4,4,4
re1_ss__user_loss__5,re1_ss,loss,user,1,1,1,1,1,1
re1_ss__user_mem__1,re1_ss,mem,user,1,1,1,1,1,1
re1_ss__user_mem__2,re1_ss,mem,user,1,1,1,1,1,1
re1_ss__user_mem__3,re1_ss,mem,user,1,1,1,1,1,1
re1_ss__user_mem__4,re1_ss,mem,user,1,1,1,1,1,1
re1_ss__user_mem__5,re1_ss,mem,user,1,1,1,1,1,1
re1_tt__ts-auth-service_cpu__1,re1_tt,cpu,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_cpu__2,re1_tt,cpu,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_cpu__3,re1_tt,cpu,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_cpu__4,re1_tt,cpu,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_cpu__5,re1_tt,cpu,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_delay__1,re1_tt,delay,ts-auth-service,20,11,12,11,18,13
re1_tt__ts-auth-service_delay__2,re1_tt,delay,ts-auth-service,26,36,8,33,10,11
re1_tt__ts-auth-service_delay__3,re1_tt,delay,ts-auth-service,20,28,7,27,8,11
re1_tt__ts-auth-service_delay__4,re1_tt,delay,ts-auth-service,8,9,8,9,8,8
re1_tt__ts-auth-service_delay__5,re1_tt,delay,ts-auth-service,8,10,5,11,5,7
re1_tt__ts-auth-service_disk__1,re1_tt,disk,ts-auth-service,1,2,1,2,1,1
re1_tt__ts-auth-service_disk__2,re1_tt,disk,ts-auth-service,1,2,1,2,1,1
re1_tt__ts-auth-service_disk__3,re1_tt,disk,ts-auth-service,2,2,2,2,2,2
re1_tt__ts-auth-service_disk__4,re1_tt,disk,ts-auth-service,2,2,2,2,2,2
re1_tt__ts-auth-service_disk__5,re1_tt,disk,ts-auth-service,1,2,1,2,1,1
re1_tt__ts-auth-service_loss__1,re1_tt,loss,ts-auth-service,13,17,9,17,9,9
re1_tt__ts-auth-service_loss__2,re1_tt,loss,ts-auth-service,24,30,14,30,15,15
re1_tt__ts-auth-service_loss__3,re1_tt,loss,ts-auth-service,23,16,13,16,14,16
re1_tt__ts-auth-service_loss__4,re1_tt,loss,ts-auth-service,22,28,7,28,7,10
re1_tt__ts-auth-service_loss__5,re1_tt,loss,ts-auth-service,24,36,6,35,9,10
re1_tt__ts-auth-service_mem__1,re1_tt,mem,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_mem__2,re1_tt,mem,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_mem__3,re1_tt,mem,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_mem__4,re1_tt,mem,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-auth-service_mem__5,re1_tt,mem,ts-auth-service,1,1,1,1,1,1
re1_tt__ts-order-service_cpu__1,re1_tt,cpu,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_cpu__2,re1_tt,cpu,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_cpu__3,re1_tt,cpu,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_cpu__4,re1_tt,cpu,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_cpu__5,re1_tt,cpu,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_delay__1,re1_tt,delay,ts-order-service,12,14,12,14,12,12
re1_tt__ts-order-service_delay__2,re1_tt,delay,ts-order-service,10,11,9,10,9,8
re1_tt__ts-order-service_delay__3,re1_tt,delay,ts-order-service,5,6,4,6,4,5
re1_tt__ts-order-service_delay__4,re1_tt,delay,ts-order-service,5,6,5,6,5,5
re1_tt__ts-order-service_delay__5,re1_tt,delay,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_disk__1,re1_tt,disk,ts-order-service,1,2,1,2,1,1
re1_tt__ts-order-service_disk__2,re1_tt,disk,ts-order-service,1,2,1,2,1,1
re1_tt__ts-order-service_disk__3,re1_tt,disk,ts-order-service,1,2,1,2,1,1
re1_tt__ts-order-service_disk__4,re1_tt,disk,ts-order-service,2,2,1,2,2,2
re1_tt__ts-order-service_disk__5,re1_tt,disk,ts-order-service,1,3,1,3,1,1
re1_tt__ts-order-service_loss__1,re1_tt,loss,ts-order-service,3,2,2,2,2,2
re1_tt__ts-order-service_loss__2,re1_tt,loss,ts-order-service,3,2,2,2,2,2
re1_tt__ts-order-service_loss__3,re1_tt,loss,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_loss__4,re1_tt,loss,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_loss__5,re1_tt,loss,ts-order-service,3,3,2,3,2,2
re1_tt__ts-order-service_mem__1,re1_tt,mem,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_mem__2,re1_tt,mem,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_mem__3,re1_tt,mem,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_mem__4,re1_tt,mem,ts-order-service,1,1,1,1,1,1
re1_tt__ts-order-service_mem__5,re1_tt,mem,ts-order-service,1,1,1,1,1,1
re1_tt__ts-route-service_cpu__1,re1_tt,cpu,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_cpu__2,re1_tt,cpu,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_cpu__3,re1_tt,cpu,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_cpu__4,re1_tt,cpu,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_cpu__5,re1_tt,cpu,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_delay__1,re1_tt,delay,ts-route-service,5,6,5,6,5,4
re1_tt__ts-route-service_delay__2,re1_tt,delay,ts-route-service,2,2,2,2,2,2
re1_tt__ts-route-service_delay__3,re1_tt,delay,ts-route-service,2,1,3,1,3,2
re1_tt__ts-route-service_delay__4,re1_tt,delay,ts-route-service,6,5,5,5,5,2
re1_tt__ts-route-service_delay__5,re1_tt,delay,ts-route-service,2,1,5,1,5,3
re1_tt__ts-route-service_disk__1,re1_tt,disk,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_disk__2,re1_tt,disk,ts-route-service,1,2,1,2,1,1
re1_tt__ts-route-service_disk__3,re1_tt,disk,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_disk__4,re1_tt,disk,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_disk__5,re1_tt,disk,ts-route-service,1,2,1,2,1,1
re1_tt__ts-route-service_loss__1,re1_tt,loss,ts-route-service,3,1,4,1,4,2
re1_tt__ts-route-service_loss__2,re1_tt,loss,ts-route-service,4,2,2,2,2,1
re1_tt__ts-route-service_loss__3,re1_tt,loss,ts-route-service,3,2,3,2,3,2
re1_tt__ts-route-service_loss__4,re1_tt,loss,ts-route-service,6,5,4,5,4,4
re1_tt__ts-route-service_loss__5,re1_tt,loss,ts-route-service,15,13,8,13,8,7
re1_tt__ts-route-service_mem__1,re1_tt,mem,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_mem__2,re1_tt,mem,ts-route-service,1,1,1,1,1,1
