case_id,dataset,fault_type,root_cause_service,raw_rank,raw_top1,stationary_counterfactual_ar_uncertainty_rank,stationary_counterfactual_ar_uncertainty_top1,direct_ar_bayes_factor_rank,direct_ar_bayes_factor_top1,direct_root_log_bf,direct_top_competitor,direct_top_competitor_log_bf,direct_root_margin
re1_ob__cartservice_cpu__5,re1_ob,cpu,cartservice,2,frontend-external,2,frontend-external,3,frontend-external,688.1004004842001,frontend-external,3819.1971341629605,-3131.0967336787603
re1_ob__cartservice_delay__1,re1_ob,delay,cartservice,2,frontend-external,3,frontend-external,2,frontend-external,658.9593965240587,frontend-external,2292.720152266424,-1633.7607557423653
re1_ob__cartservice_delay__2,re1_ob,delay,cartservice,6,main,2,frontend,7,recommendationservice,25.263884853030124,recommendationservice,547.3048320762715,-522.0409472232413
re1_ob__cartservice_delay__3,re1_ob,delay,cartservice,5,frontend-external,4,frontend,5,recommendationservice,42.65852343040232,recommendationservice,587.9449892803999,-545.2864658499976
re1_ob__cartservice_delay__4,re1_ob,delay,cartservice,3,frontend,2,frontend,5,emailservice,25.83780516440288,emailservice,2930.4815191851467,-2904.6437140207436
re1_ob__cartservice_delay__5,re1_ob,delay,cartservice,3,frontend-external,3,frontend-external,7,frontend-external,-0.8094277171465288,frontend-external,2297.521617768175,-2298.3310454853217
re1_ob__cartservice_disk__1,re1_ob,disk,cartservice,1,cartservice,1,cartservice,2,emailservice,271.8595572904251,emailservice,349.3442898254284,-77.48473253500333
re1_ob__cartservice_disk__2,re1_ob,disk,cartservice,1,cartservice,1,cartservice,2,recommendationservice,302.56073745452966,recommendationservice,502.7257380989311,-200.16500064440146
re1_ob__cartservice_disk__3,re1_ob,disk,cartservice,2,frontend-check,1,cartservice,1,cartservice,543.0409604334844,frontend-check,421.15138555952615,121.88957487395828
re1_ob__cartservice_disk__4,re1_ob,disk,cartservice,1,cartservice,1,cartservice,2,emailservice,534.6651011796225,emailservice,569.8188224791057,-35.15372129948321
re1_ob__cartservice_disk__5,re1_ob,disk,cartservice,1,cartservice,1,cartservice,1,cartservice,362.0493559586471,emailservice,302.2477374352282,59.80161852341888
re1_ob__cartservice_loss__1,re1_ob,loss,cartservice,1,cartservice,1,cartservice,1,cartservice,482.5889870750789,checkoutservice,359.4325424885512,123.1564445865277
re1_ob__cartservice_loss__2,re1_ob,loss,cartservice,7,recommendationservice,7,recommendationservice,6,emailservice,-0.8231113109804559,emailservice,376.3389847551816,-377.16209606616206
re1_ob__cartservice_loss__3,re1_ob,loss,cartservice,2,adservice,2,adservice,3,adservice,20.82946166708128,adservice,128.41625440911625,-107.58679274203497
re1_ob__cartservice_loss__4,re1_ob,loss,cartservice,2,adservice,2,adservice,2,adservice,142.870587352409,adservice,320.56155556901666,-177.69096821660767
re1_ob__cartservice_loss__5,re1_ob,loss,cartservice,3,recommendationservice,1,cartservice,3,recommendationservice,631.75477934142,recommendationservice,679.7772706314896,-48.02249129006964
re1_ob__cartservice_mem__1,re1_ob,mem,cartservice,2,frontend-external,2,frontend-external,2,frontend-external,1809.7758342391264,frontend-external,3853.9465157512523,-2044.1706815121258
re1_ob__cartservice_mem__2,re1_ob,mem,cartservice,2,frontend-external,2,frontend-external,3,frontend-external,1379.1105482477742,frontend-external,3932.9902568944085,-2553.8797086466343
re1_ob__cartservice_mem__3,re1_ob,mem,cartservice,1,cartservice,1,cartservice,1,cartservice,1684.1135006993297,emailservice,1194.8406839495601,489.2728167497696
re1_ob__cartservice_mem__4,re1_ob,mem,cartservice,1,cartservice,1,cartservice,2,frontend,1829.56278844423,frontend,2628.7468687501528,-799.1840803059229
re1_ob__cartservice_mem__5,re1_ob,mem,cartservice,2,frontend,2,frontend,2,frontend,1293.652095642987,frontend,2557.2579782366106,-1263.6058825936236
re1_ob__checkoutservice_cpu__1,re1_ob,cpu,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,790.2496067520769,emailservice,350.7336096046268,439.51599714745015
re1_ob__checkoutservice_cpu__2,re1_ob,cpu,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,775.2053431718538,frontend,754.281090527879,20.924252643974796
re1_ob__checkoutservice_cpu__3,re1_ob,cpu,checkoutservice,2,frontend-external,2,frontend-external,2,frontend-external,773.5019556308567,frontend-external,3819.8192995943855,-3046.317343963529
re1_ob__checkoutservice_cpu__4,re1_ob,cpu,checkoutservice,1,checkoutservice,1,checkoutservice,2,frontend-external,708.1315300511319,frontend-external,863.0833582360201,-154.9518281848882
re1_ob__checkoutservice_cpu__5,re1_ob,cpu,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,768.9994942957505,emailservice,314.36633921186444,454.6331550838861
re1_ob__checkoutservice_delay__1,re1_ob,delay,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,707.2283232752402,cartservice,437.4849102336416,269.7434130415986
re1_ob__checkoutservice_delay__2,re1_ob,delay,checkoutservice,5,frontend-external,4,frontend-external,7,frontend-external,35.88514551476188,frontend-external,2284.6236353711333,-2248.7384898563714
re1_ob__checkoutservice_delay__3,re1_ob,delay,checkoutservice,4,frontend-external,3,frontend-external,6,frontend-external,22.211800809446913,frontend-external,638.869816139698,-616.658015330251
re1_ob__checkoutservice_delay__4,re1_ob,delay,checkoutservice,4,frontend-external,3,frontend-external,6,frontend-external,44.50991073106252,frontend-external,2372.89421094606,-2328.3843002149974
re1_ob__checkoutservice_delay__5,re1_ob,delay,checkoutservice,3,frontend-external,2,frontend-external,5,frontend-external,60.30269426069325,frontend-external,641.527636238882,-581.2249419781888
re1_ob__checkoutservice_disk__1,re1_ob,disk,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,360.64501232581796,redis,341.62282675229505,19.022185573522904
re1_ob__checkoutservice_disk__2,re1_ob,disk,checkoutservice,2,frontend-external,2,frontend-external,2,frontend-external,535.1153371250549,frontend-external,2283.5366900082477,-1748.4213528831929
re1_ob__checkoutservice_disk__3,re1_ob,disk,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,461.2342248758957,redis,283.25473303505964,177.97949184083603
re1_ob__checkoutservice_disk__4,re1_ob,disk,checkoutservice,1,checkoutservice,1,checkoutservice,2,emailservice,269.14242978178464,emailservice,330.90535351372966,-61.76292373194502
re1_ob__checkoutservice_disk__5,re1_ob,disk,checkoutservice,1,checkoutservice,1,checkoutservice,2,emailservice,432.35768593698396,emailservice,513.7176053606264,-81.35991942364245
re1_ob__checkoutservice_loss__1,re1_ob,loss,checkoutservice,5,paymentservice,3,paymentservice,7,recommendationservice,59.397228296890376,recommendationservice,712.8339442470938,-653.4367159502034
re1_ob__checkoutservice_loss__2,re1_ob,loss,checkoutservice,7,emailservice,5,emailservice,9,emailservice,-4.604592212279385,emailservice,825.9207558280874,-830.5253480403668
re1_ob__checkoutservice_loss__3,re1_ob,loss,checkoutservice,7,frontend-external,7,frontend-external,13,frontend-external,-20.95939165239338,frontend-external,2345.291775625425,-2366.2511672778182
re1_ob__checkoutservice_loss__4,re1_ob,loss,checkoutservice,5,emailservice,5,emailservice,10,emailservice,-17.975427408154285,emailservice,494.2476968563703,-512.2231242645246
re1_ob__checkoutservice_loss__5,re1_ob,loss,checkoutservice,8,frontend-external,7,frontend-external,8,frontend-external,-7.241281691738588,frontend-external,2282.166864747381,-2289.4081464391197
re1_ob__checkoutservice_mem__1,re1_ob,mem,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,1844.8059144833278,emailservice,963.9756648069039,880.8302496764239
re1_ob__checkoutservice_mem__2,re1_ob,mem,checkoutservice,2,frontend,1,checkoutservice,2,frontend,1786.719506420273,frontend,2543.454930844918,-756.7354244246451
re1_ob__checkoutservice_mem__3,re1_ob,mem,checkoutservice,1,checkoutservice,1,checkoutservice,2,frontend,1959.160239328592,frontend,2558.474549958975,-599.3143106303828
re1_ob__checkoutservice_mem__4,re1_ob,mem,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,2479.498344601893,adservice,184.65350696394066,2294.8448376379524
re1_ob__checkoutservice_mem__5,re1_ob,mem,checkoutservice,1,checkoutservice,1,checkoutservice,1,checkoutservice,2446.494183496481,shippingservice,532.3264070135191,1914.167776482962
re1_ob__currencyservice_cpu__1,re1_ob,cpu,currencyservice,2,frontend,2,frontend,5,frontend,359.5696281677621,frontend,2543.662768533808,-2184.093140366046
re1_ob__currencyservice_cpu__2,re1_ob,cpu,currencyservice,1,currencyservice,1,currencyservice,1,currencyservice,249.87108279583205,cartservice,239.22955277759002,10.641530018242037
re1_ob__currencyservice_cpu__3,re1_ob,cpu,currencyservice,3,emailservice,1,currencyservice,5,emailservice,398.12436209454773,emailservice,1600.8997354462826,-1202.775373351735
re1_ob__currencyservice_cpu__4,re1_ob,cpu,currencyservice,3,emailservice,2,emailservice,3,emailservice,351.45039704517285,emailservice,1421.1004592490651,-1069.6500622038923
re1_ob__currencyservice_cpu__5,re1_ob,cpu,currencyservice,2,frontend-external,2,frontend-external,2,frontend-external,357.5091403813993,frontend-external,3805.416148381752,-3447.9070080003526
re1_ob__currencyservice_delay__1,re1_ob,delay,currencyservice,1,currencyservice,1,currencyservice,1,currencyservice,556.8026959594034,recommendationservice,326.8869771646045,229.91571879479892
re1_ob__currencyservice_delay__2,re1_ob,delay,currencyservice,6,frontend-external,2,frontend-external,5,recommendationservice,321.06500775727056,recommendationservice,3237.066602140563,-2916.0015943832927
re1_ob__currencyservice_delay__3,re1_ob,delay,currencyservice,1,currencyservice,1,currencyservice,1,currencyservice,679.5916887519164,main,331.135619250947,348.4560695009694
re1_ob__currencyservice_delay__4,re1_ob,delay,currencyservice,4,frontend-external,4,frontend-external,6,recommendationservice,61.57537059523842,recommendationservice,2489.6939569199567,-2428.1185863247183
re1_ob__currencyservice_delay__5,re1_ob,delay,currencyservice,3,frontend,3,frontend,6,emailservice,75.01554232460826,emailservice,300.3891912572526,-225.37364893264436
re1_ob__currencyservice_disk__1,re1_ob,disk,currencyservice,2,adservice,2,adservice,7,adservice,175.46115142935824,adservice,1665.6778199533758,-1490.2166685240175
re1_ob__currencyservice_disk__2,re1_ob,disk,currencyservice,1,currencyservice,1,currencyservice,3,redis,175.8545626451369,redis,301.46069328053045,-125.60613063539355
re1_ob__currencyservice_disk__3,re1_ob,disk,currencyservice,1,currencyservice,1,currencyservice,2,recommendationservice,190.16510157418813,recommendationservice,218.45785536775261,-28.292753793564486
re1_ob__currencyservice_disk__4,re1_ob,disk,currencyservice,2,redis,1,currencyservice,5,redis,31.007821731345036,redis,327.07762355275946,-296.06980182141444
re1_ob__currencyservice_disk__5,re1_ob,disk,currencyservice,1,currencyservice,1,currencyservice,5,redis,152.98008007852343,redis,247.4001910400862,-94.42011096156278
re1_ob__currencyservice_loss__1,re1_ob,loss,currencyservice,3,frontend-external,3,frontend-external,3,frontend-external,188.29525354310078,frontend-external,2298.5771724917367,-2110.281918948636
re1_ob__currencyservice_loss__2,re1_ob,loss,currencyservice,1,currencyservice,1,currencyservice,2,recommendationservice,393.16658204461675,recommendationservice,2780.9710596339587,-2387.804477589342
re1_ob__currencyservice_loss__3,re1_ob,loss,currencyservice,4,cartservice,4,cartservice,4,cartservice,455.27251488040673,cartservice,656.9240079816153,-201.6514931012086
re1_ob__currencyservice_loss__4,re1_ob,loss,currencyservice,1,currencyservice,1,currencyservice,2,main,442.1654232265875,main,523.206325986267,-81.04090275967945
re1_ob__currencyservice_loss__5,re1_ob,loss,currencyservice,2,frontend-external,3,frontend-external,2,frontend-external,436.12907818546495,frontend-external,2288.187427208191,-1852.058349022726
re1_ob__currencyservice_mem__1,re1_ob,mem,currencyservice,1,currencyservice,1,currencyservice,1,currencyservice,2312.15628482505,recommendationservice,1106.2056019947079,1205.9506828303422
re1_ob__currencyservice_mem__2,re1_ob,mem,currencyservice,1,currencyservice,1,currencyservice,1,currencyservice,1778.8784121847566,frontend-external,1187.1353541097494,591.7430580750072
re1_ob__currencyservice_mem__3,re1_ob,mem,currencyservice,1,currencyservice,1,currencyservice,1,currencyservice,2162.770860110347,frontend,1080.4878570576454,1082.2830030527014
re1_ob__currencyservice_mem__4,re1_ob,mem,currencyservice,1,currencyservice,1,currencyservice,1,currencyservice,1296.8971161821155,emailservice,589.0865438837099,707.8105722984056
re1_ob__currencyservice_mem__5,re1_ob,mem,currencyservice,2,frontend,2,frontend,2,frontend,1405.217594306605,frontend,2566.4027641217604,-1161.1851698151554
re1_ob__productcatalogservice_cpu__1,re1_ob,cpu,productcatalogservice,2,frontend-external,2,frontend-external,5,frontend-external,410.9956209661225,frontend-external,3918.515651843384,-3507.520030877262
re1_ob__productcatalogservice_cpu__2,re1_ob,cpu,productcatalogservice,1,productcatalogservice,1,productcatalogservice,2,frontend-external,393.4574982941992,frontend-external,1136.7671336194094,-743.3096353252101
re1_ob__productcatalogservice_cpu__3,re1_ob,cpu,productcatalogservice,1,productcatalogservice,1,productcatalogservice,2,emailservice,297.714220375084,emailservice,691.9859921805759,-394.2717718054919
re1_ob__productcatalogservice_cpu__4,re1_ob,cpu,productcatalogservice,3,frontend-external,3,frontend-external,6,frontend-external,395.6405487932105,frontend-external,5035.418386450615,-4639.777837657404
re1_ob__productcatalogservice_cpu__5,re1_ob,cpu,productcatalogservice,1,productcatalogservice,1,productcatalogservice,2,frontend-external,438.3342863294458,frontend-external,1139.9844489021011,-701.6501625726553
re1_ob__productcatalogservice_delay__1,re1_ob,delay,productcatalogservice,2,frontend,1,productcatalogservice,1,productcatalogservice,536.0619532618449,checkoutservice,247.48409534660803,288.5778579152369
re1_ob__productcatalogservice_delay__2,re1_ob,delay,productcatalogservice,3,frontend,2,frontend,2,frontend-external,504.14069582809543,frontend-external,689.011875313906,-184.87117948581056
re1_ob__productcatalogservice_delay__3,re1_ob,delay,productcatalogservice,4,frontend-external,4,frontend,7,emailservice,141.1917065862268,emailservice,2918.0398939363113,-2776.8481873500846
re1_ob__productcatalogservice_delay__4,re1_ob,delay,productcatalogservice,1,productcatalogservice,1,productcatalogservice,1,productcatalogservice,641.4652387979746,cartservice,574.5995611884792,66.86567760949538
re1_ob__productcatalogservice_delay__5,re1_ob,delay,productcatalogservice,1,productcatalogservice,2,frontend,2,main,586.9715418925363,main,4296.298755262275,-3709.327213369739
re1_ob__productcatalogservice_disk__1,re1_ob,disk,productcatalogservice,1,productcatalogservice,1,productcatalogservice,4,cartservice,202.4262905165259,cartservice,455.24484455477835,-252.81855403825244
re1_ob__productcatalogservice_disk__2,re1_ob,disk,productcatalogservice,1,productcatalogservice,1,productcatalogservice,3,emailservice,279.6863528536956,emailservice,586.8359356096853,-307.1495827559897
re1_ob__productcatalogservice_disk__3,re1_ob,disk,productcatalogservice,1,productcatalogservice,1,productcatalogservice,4,recommendationservice,286.996281149647,recommendationservice,377.8617889952675,-90.86550784562047
re1_ob__productcatalogservice_disk__4,re1_ob,disk,productcatalogservice,1,productcatalogservice,1,productcatalogservice,3,frontend,247.29159914359073,frontend,434.7484210949854,-187.4568219513947
re1_ob__productcatalogservice_disk__5,re1_ob,disk,productcatalogservice,1,productcatalogservice,1,productcatalogservice,4,emailservice,225.55917655173846,emailservice,395.62019536358474,-170.06101881184628
re1_ob__productcatalogservice_loss__1,re1_ob,loss,productcatalogservice,2,frontend-external,2,frontend-external,8,main,74.1926795457103,main,4200.651357501773,-4126.458677956063
re1_ob__productcatalogservice_loss__2,re1_ob,loss,productcatalogservice,4,checkoutservice,4,checkoutservice,10,main,4.671583565278335,main,3841.0118970525486,-3836.34031348727
re1_ob__productcatalogservice_loss__3,re1_ob,loss,productcatalogservice,5,frontend-external,5,frontend-external,7,frontend-external,15.689268799113771,frontend-external,2292.2118584607756,-2276.5225896616616
re1_ob__productcatalogservice_loss__4,re1_ob,loss,productcatalogservice,3,frontend-external,3,frontend-external,4,frontend-external,318.42799025908204,frontend-external,2292.6507464793117,-1974.2227562202297
re1_ob__productcatalogservice_loss__5,re1_ob,loss,productcatalogservice,6,recommendationservice,5,recommendationservice,11,emailservice,-4.103371100466764,emailservice,292.2943342321416,-296.3977053326083
re1_ob__productcatalogservice_mem__1,re1_ob,mem,productcatalogservice,2,frontend-external,2,frontend-external,2,frontend-external,2557.775584051067,frontend-external,3909.37547794266,-1351.5998938915927
re1_ob__productcatalogservice_mem__2,re1_ob,mem,productcatalogservice,1,productcatalogservice,1,productcatalogservice,1,productcatalogservice,1720.258282108319,recommendationservice,1014.612423378174,705.645858730145
re1_ob__productcatalogservice_mem__3,re1_ob,mem,productcatalogservice,2,frontend-external,2,frontend-external,2,frontend-external,2113.2289722428463,frontend-external,3900.998412706143,-1787.7694404632966
re1_ob__productcatalogservice_mem__4,re1_ob,mem,productcatalogservice,1,productcatalogservice,1,productcatalogservice,1,productcatalogservice,2214.737110485094,emailservice,869.7491981666323,1344.987912318462
re1_ob__productcatalogservice_mem__5,re1_ob,mem,productcatalogservice,1,productcatalogservice,1,productcatalogservice,1,productcatalogservice,1480.067105705714,recommendationservice,245.77382981901712,1234.2932758866968
re1_ss__carts_cpu__1,re1_ss,cpu,carts,1,carts,1,carts,1,carts,6590.641873711665,catalogue-db,5327.499383270492,1263.1424904411724
re1_ss__carts_cpu__2,re1_ss,cpu,carts,1,carts,1,carts,1,carts,9675.44147367357,192-168-15-8-9100,3432.840928639649,6242.600545033922
re1_ss__carts_cpu__3,re1_ss,cpu,carts,2,192-168-33-0-9100,2,192-168-33-0-9100,1,carts,9461.822082177756,catalogue-db,8619.888694048463,841.9333881292932
re1_ss__carts_cpu__4,re1_ss,cpu,carts,1,carts,1,carts,1,carts,6578.761911125887,front-end,3301.308899266957,3277.4530118589305
re1_ss__carts_cpu__5,re1_ss,cpu,carts,1,carts,1,carts,1,carts,6550.024062836651,queue-master,4233.674927571462,2316.349135265189
re1_ss__carts_delay__1,re1_ss,delay,carts,1,carts,1,carts,1,carts,9659.98825528106,orders,4714.833788198836,4945.154467082223
re1_ss__carts_delay__2,re1_ss,delay,carts,1,carts,1,carts,1,carts,9663.150846897513,front-end,1754.7786394795005,7908.372207418013
re1_ss__carts_delay__3,re1_ss,delay,carts,3,192-168-37-154-9100,3,192-168-37-154-9100,1,carts,4699.496273372288,orders,4033.358407493942,666.1378658783456
re1_ss__carts_delay__4,re1_ss,delay,carts,1,carts,1,carts,1,carts,6888.798585493952,front-end,4299.618219887649,2589.180365606303
re1_ss__carts_delay__5,re1_ss,delay,carts,1,carts,1,carts,1,carts,6772.7913146733335,catalogue-db,5334.198964667837,1438.5923500054969
re1_ss__carts_disk__1,re1_ss,disk,carts,2,catalogue-db,2,catalogue-db,1,carts,8764.183632183369,catalogue-db,6693.371590635729,2070.8120415476396
re1_ss__carts_disk__2,re1_ss,disk,carts,1,carts,1,carts,1,carts,8781.325002643584,shipping,3103.2081728249614,5678.116829818622
re1_ss__carts_disk__3,re1_ss,disk,carts,2,catalogue-db,2,catalogue-db,1,carts,8790.32611258302,catalogue-db,7818.89619017507,971.4299224079496
re1_ss__carts_disk__4,re1_ss,disk,carts,1,carts,1,carts,1,carts,8813.736154903643,shipping,2803.371663872602,6010.364491031041
re1_ss__carts_disk__5,re1_ss,disk,carts,3,catalogue-db,3,catalogue-db,2,catalogue-db,6818.5817997476015,catalogue-db,6849.812924532082,-31.231124784480926
re1_ss__carts_loss__1,re1_ss,loss,carts,1,carts,1,carts,2,queue-master,3809.3657259453817,queue-master,3936.223154442597,-126.85742849721555
re1_ss__carts_loss__2,re1_ss,loss,carts,1,carts,1,carts,1,carts,9607.635472995493,192-168-37-154-9100,3792.198774462992,5815.436698532501
re1_ss__carts_loss__3,re1_ss,loss,carts,4,192-168-15-8-9100,3,192-168-15-8-9100,4,session-db,3940.3567016534457,session-db,8807.506736237667,-4867.150034584221
re1_ss__carts_loss__4,re1_ss,loss,carts,1,carts,1,carts,1,carts,7131.44984441367,session-db,2911.493048988958,4219.956795424712
re1_ss__carts_loss__5,re1_ss,loss,carts,2,192-168-33-0-9100,2,192-168-33-0-9100,1,carts,6389.548637176183,192-168-33-0-9100,5574.879913894521,814.6687232816612
re1_ss__carts_mem__1,re1_ss,mem,carts,1,carts,1,carts,2,catalogue-db,8161.706057428892,catalogue-db,9157.54342896757,-995.8373715386788
re1_ss__carts_mem__2,re1_ss,mem,carts,1,carts,1,carts,1,carts,10257.718043445326,shipping,3077.217934497355,7180.50010894797
re1_ss__carts_mem__3,re1_ss,mem,carts,1,carts,1,carts,1,carts,8152.32463611157,192-168-37-154-9100,3380.736102942003,4771.588533169566
re1_ss__carts_mem__4,re1_ss,mem,carts,1,carts,1,carts,1,carts,10256.813171060021,catalogue-db,3045.7619967339865,7211.051174326034
re1_ss__carts_mem__5,re1_ss,mem,carts,1,carts,1,carts,1,carts,8172.235770360567,catalogue-db,5814.878535821971,2357.3572345385955
re1_ss__catalogue_cpu__1,re1_ss,cpu,catalogue,1,catalogue,1,catalogue,1,catalogue,6967.326503684179,192-168-37-154-9100,3390.426164057632,3576.9003396265475
re1_ss__catalogue_cpu__2,re1_ss,cpu,catalogue,1,catalogue,1,catalogue,1,catalogue,6849.554221986199,catalogue-db,3197.2055161456774,3652.3487058405217
re1_ss__catalogue_cpu__3,re1_ss,cpu,catalogue,1,catalogue,1,catalogue,1,catalogue,6897.653796723782,192-168-56-14-9100,3841.361820281294,3056.291976442488
re1_ss__catalogue_cpu__4,re1_ss,cpu,catalogue,1,catalogue,1,catalogue,1,catalogue,6883.950517067322,queue-master,3169.444092780154,3714.506424287168
re1_ss__catalogue_cpu__5,re1_ss,cpu,catalogue,1,catalogue,1,catalogue,1,catalogue,9584.156737960402,catalogue-db,8642.188556734902,941.9681812255003
re1_ss__catalogue_delay__1,re1_ss,delay,catalogue,1,catalogue,1,catalogue,2,catalogue-db,2680.6758597623048,catalogue-db,9315.493255787662,-6634.817396025357
re1_ss__catalogue_delay__2,re1_ss,delay,catalogue,2,catalogue-db,2,catalogue-db,2,catalogue-db,6816.601722087599,catalogue-db,8838.590943444739,-2021.9892213571393
re1_ss__catalogue_delay__3,re1_ss,delay,catalogue,3,192-168-61-95-9100,3,192-168-61-95-9100,4,catalogue-db,2309.3417021393348,catalogue-db,9178.684422252772,-6869.342720113438
re1_ss__catalogue_delay__4,re1_ss,delay,catalogue,4,192-168-64-231-9100,4,192-168-64-231-9100,1,catalogue,6771.583562594041,192-168-64-231-9100,3667.4763097229697,3104.107252871071
re1_ss__catalogue_delay__5,re1_ss,delay,catalogue,2,192-168-64-231-9100,2,192-168-64-231-9100,2,192-168-64-231-9100,2227.9747647188947,192-168-64-231-9100,3352.470749506887,-1124.4959847879923
re1_ss__catalogue_disk__1,re1_ss,disk,catalogue,1,catalogue,1,catalogue,1,catalogue,8848.607710673356,10-192-15-195-9100,3407.255315541764,5441.352395131591
